route_number	route_name	kind	dep_time	dep_days	dep_note	arr_time	arr_days	arr_note
3а	М-н «Восточный – ПМК  Кладбище «Мерятино»	FALSE						
			09:20			09:45		
			10:15			10:40		
			11:10			11:35		
			16:00			16:25		
7	Проспект Победы – Черная речк 	FALSE						
			12:00			12:35		
7б	Проспект Победы –Заводоуправление	FALSE						
			08:40			09:05		
			14:10	р.д.		14:35	р.д.	
			15:10			15:35		
6	Вокзал – Вокзал (круговой)	TRUE						
			05:25					
			06:02					
			06:35					
			07:08					
			08:06					
			08:38					
			09:57					
			12:06					
			12:38					
			13:48					
			15:55					
			17:00					
			17:33					
			19:20					
			20:00					
6л	Вокзал – Вокзал (круговой)	TRUE						
			06:55					
			07:20					
			07:48					
			08:20					
			16:15					
			17:15					
			18:25					
			20:30					
			21:30					
9-1	Вокзал – ОКБ – Вокзал (круговой)	TRUE						
			07:34					
9-2	Вокзал – ОКБ – Вокзал (круговой)	TRUE						
			17:52					
9	Вокзал – Вокзал (круговой)	TRUE						
			08:58					
			09:25					
			10:25					
			11:28					
			12:20					
			13:10					
			14:15					
			15:20					
			16:25					
			18:00					
			19:45					
9л	Вокзал – Вокзал (круговой)	TRUE						
			13:28					
			14:53					
			15:38					
			16:48					
			19:03					
