number	comment	times
254г	на д.Городище следует по городу: пр. Победы, ул. Строителей, ул. Нефтехимиков, пр. Ленина, пр.Победы со всеми остановками с заездом в д.Чирково (туда еж.; обратно вых.д.); в обратном направлении следуют  по пр. Победы со всеми остановками	
		06:55
253а	на д.Кусино отправляются от Привокзальной площади с заездом на Садоводство – 2 (туда и обратно); в обратном направлении следуют  по пр. Победы со всеми остановками	
		06:05
		08:40
		12:00
		13:55
		16:00
		18:00
		20:30
256	на д.Чирково следуют по городу: пр. Победы, ул. Строителей, ул. Нефтехимиков, пр.Ленина со всеми остановками (туда и обратно)	
		09:40
		10:50
		17:00
257б	по рабочим дням из д. Дубняги заезжают в д. Чирково;  в обратном направлении следуют по пр. Победы со всеми остановками	
		07:00
251а	по рабочим дням кроме пятницы из п.Глажево следуют по городу: ул. Ленинградская, пр. Ленина, ул. Нефтехимиков, ул. Строителей, пр. Победы со всеми остановками	
		21:07
251	в выходные дни из д.Черенцево следуют по городу: ул. Ленинградская, пр. Ленина, ул. Нефтехимиков, ул. Строителей, пр. Победы со всеми остановками	
		21:17
259	по пятницам из д.Гороховец следуют по городу: ул. Ленинградская, пр. Ленина, ул. Нефтехимиков, ул. Строителей, пр. Победы со всеми остановками	
		21:43
255	все рейсы на г. Кириши следуют от площади по улицам: Советская, ул. Октябрьская, ул.Новая, с заездом к больнице и далее на г. Кириши, по прибытию в  г.Кириши, следуют по пр. Героев, пр. Ленина, пр. Победы со всеми остановками	
255а	все рейсы на г. Кириши следуют от площади по улицам: Советская, ул. Октябрьская, ул.Новая, с заездом к больнице и далее на г. Кириши, по прибытию в  г.Кириши, следуют по пр. Героев, пр. Ленина, пр. Победы со всеми остановками	
255б	все рейсы на г. Кириши следуют от площади по улицам: Советская, ул. Октябрьская, ул.Новая, с заездом к больнице и далее на г. Кириши, по прибытию в  г.Кириши, следуют по пр. Героев, пр. Ленина, пр. Победы со всеми остановками	
247	 в п. Будогощь  следуют с заездом к больнице	
		07:37
		09:10
241	 в п. Будогощь  следуют с заездом к больнице	
		07:55
