route_number	route_name	kind	dep_time	dep_days	dep_note	arr_time	arr_days	arr_note
251	Кириши – Черенцево	FALSE						
			07:15	р.д.	*	08:17	р.д.	
			12:50	р.д.		14:00	р.д.	
251а	Кириши – Глажево 	FALSE						
			05:50			06:35		
			07:30	сб.		08:30	сб.	
			10:00			10:40		
			12:50	вых.д., кр.вс.		13:45	вых.д., кр.вс.	
			15:30	р.д.		16:15	р.д.	
			16:30	сб.		17:20	сб.	
			17:30	пн., ср.		18:30	пн., ср.	
			20:15			21:07		*
253а*	Кириши –  Садоводство-2 – Кусино	FALSE						
			06:05			06:35		
			08:40			09:21		
			12:00			12:30		
			13:55			14:30		
			16:00			16:30		
			18:00			18:35		
			20:30			21:00		
252	Кириши – Садоводство-2 Рабочие дни	FALSE						
			08:00			08:25		
			10:00			10:25		
			11:00			11:25		
			13:00			13:25		
			19:00			19:25		
252	Кириши – Садоводство-2 Выходные дни	FALSE						
			07:00			07:25		
			08:00			08:25		
			10:00			10:25		
			11:00			11:25		
			13:00			13:25		
			17:00			17:25		
			19:00			19:25		
254	Кириши – Городище	FALSE						
			14:25			08:30	р.д.	
			17:55			15:10		
						18:40		
254г*	Кириши – Чирково –Городище 	FALSE						
			07:30		*	08:30	вых.д.	
254a	Кириши – Пчева	FALSE						
			06:20	р.д.		06:50	р.д.	
			11:25	р.д.		12:00	р.д.	
			16:10	р.д.		16:45	р.д.	
			20:10	пт.		20:45	пт.	
255*	Кириши – Будогощь	FALSE						
			06:05			07:00		
			07:25			08:25		
			10:00			11:00		
			13:00			14:00		
			14:45			15:55		
			16:55			18:00		
			17:35			18:50		
255б*	Кириши – Будогощь	FALSE						
			06:25			09:25		
			11:00			10:15		
			14:00			12:00		
256*	Кириши – Чирково	FALSE						
			09:40			10:13		
			10:50			11:23		
			17:00			17:33		
257, 257а	Кириши – Чирково	FALSE						
			06:00	р.д.		11:45	вых.д.	
			10:35	вых.д.	д.Дуняково сб.	15:00	р.д.	
			13:50	р.д.	д.Дуняково чт.	19:20		д.Дуняково вс.
			18:25		д.Дуняково чт.			
257б*	Кириши – Чирково - Дубняги	FALSE						
						07:00	р.д.	д.Дуняково чт.
258	Кириши – Мемино	FALSE						
			08:10	пт.		09:30	пт.	
			18:30	пт.		19:50	пт.	
			17:30	вс.		18:40	вс.	
259	Кириши – Гороховец	FALSE						
			08:10	вт., чт.		09:40	вт., чт.	
			17:30	вт., чт.		19:00	вт., чт.	
			12:50	вс.		14:18	вс.	
260	Кириши – Садоводство-3	FALSE						
			06:00			06:30		
			08:20			08:50		
			08:50			09:20		
			09:30			10:00		
			10:40			11:10		
			13:00			13:30		
			14:10			14:40		
			15:20			15:50		
			16:40			17:10		
			17:50			18:20		
			19:00			19:30		
240	Будогощь (круговой)	TRUE						
			08:30					
			18:10					
244	Будогощь - Смолино	FALSE						
			08:20	вт., чт.		09:13	вт., чт.	*
			16:38	вт., чт.		17:25	вт., чт.	
245	Будогощь - Клинково	FALSE						
			07:20			07:50		
			16:50	пн., ср., пт., сб., вс.		17:20	пн., ср., пт., сб., вс.	
246	Будогощь - Половинник	FALSE						
			06:50	пн., чт., сб.		07:38	пн., чт., сб.	
			15:00	пн., чт., сб.		15:50	пн., чт., сб.	
247	Будогощь - Луг	FALSE						
			06:55	вт., ср., пт., вс.		07:37	вт., ср., пт., вс.	*
			15:00		д.Могилево, д.Солоницы ср.	15:35	вт., ср., пт., вс.	д.Солоницы ср.
