route_number	route_name	kind	dep_time	dep_days	dep_note	arr_time	arr_days	arr_note
251	Кириши – Черенцево	FALSE
			07:15	р.д., вс.	*	08:17	р.д., вс.	
			12:50	р.д.		14:00	р.д.	
			20:15	вых.д.		21:17	вых.д.	*
251а	Кириши – Глажево 	FALSE						
			05:50			06:35		
			07:30	сб.		08:30	сб.	
			10:00			10:40		
			12:50	вых.д., кр.вс.		13:45	вых.д., кр.вс.	
			15:30	р.д.		16:15	р.д.	
			16:30	сб.		17:20	сб.	
			17:30	пн., ср.		18:30	пн., ср.	
			20:15	р.д., кр.пт.		21:07	р.д., кр.пт.	*
253а*	Кириши –  Садоводство-2 – Кусино	FALSE						
			06:05			06:35		
			08:40			09:21		
			12:00			12:30		
			13:55			14:30		
			16:00			16:30		
			18:00			18:35		
			20:30			21:00		
252	Кириши – Садоводство-2
 Рабочие дни	FALSE						
			08:00			08:25		
			10:00			10:25		
			11:00			11:25		
			13:00			13:25		
			19:00			19:25		
252	Кириши – Садоводство-2 Выходные дни	FALSE						
			07:00			07:25		
			08:00			08:25		
			10:00			10:25		
			11:00			11:25		
			13:00			13:25		
			17:00			17:25		
			19:00			19:25		
252а	От пл. Бровко по пр.Ленина-Садоводство-2
 Выходные дни	FALSE						
			09:50			10:15		
			17:30			17:55		
254	Кириши – Городище	FALSE						
			14:25			08:30	р.д.	
			17:55			15:10		
						18:40		
254г*	Кириши – Чирково –Городище 	FALSE						
			07:30		*	08:30	вых.д.	
254a	Кириши – Пчева	FALSE						
			06:20	р.д.		06:50	р.д.	
			10:35	сб.		11:10	сб.	
			11:25	р.д.		12:00	р.д.	
			16:10	р.д.		16:45	р.д.	
			20:10	пт., сб., вс.		20:45	пт., сб., вс.	
255*	Кириши – Будогощь	FALSE						
			06:05			07:00		
			06:25			08:25		
			10:00			09:25		
			11:00			10:15		
			13:00			11:00		
			14:45			12:00		
			16:55			14:00		
			17:35	кр.пт.		15:55		
						17:00		
						18:00		
						19:40	кр.вс.	
255б*	Кириши – Будогощь	FALSE						
			07:25					
			12:00					
			14:00					
255а*	Кириши – Борутино – Будогощь 	FALSE						
			17:35	пт.		19:40	вс.	
256*	Кириши – Чирково 	FALSE						
			09:40			10:13		
			10:50			11:23		
			17:00			17:33		
257, 257а	Кириши – Дубняги	FALSE						
			06:00	р.д.		11:45	вых.д.	
			10:35	вых.д.	Дуняково сб.	15:00	р.д.	
			13:50	р.д.	Дуняково чт.	19:20		Дуняково вс.
			18:25		Дуняково чт.			
257б*	Кириши – Чирково –Дубняги	FALSE						
						07:00	р.д.	Дуняково чт.
258	Кириши – Мемино	FALSE						
			08:10	пт.		09:30	пт.	
			18:30	пт.		19:50	пт.	
			17:30	вс.		18:40	вс.	
259	Кириши – Гороховец 	FALSE						
			08:10	вт., чт.		09:40	вт., чт.	
			17:30	вт., чт.		19:00	вт., чт.	
			12:50	вс.		14:18	вс.	
			20:15	пт.		21:43	пт.	*
260	Кириши – Садоводство-3
 Рабочие дни	FALSE						
			06:00			06:30		
			08:20			08:50		
			08:50			09:20		
			09:30			10:00		
			10:00			10:30		
			10:40			11:10		
			13:00			13:30		
			14:10			14:40		
			15:20			15:50		
			16:40			17:10		
			17:50			18:20		
			19:00			19:30		
			20:30			21:00		
260	Кириши – Садоводство-3
 Выходные дни	FALSE						
			06:00			06:30		
			07:10			07:40		
			08:20			08:50		
			08:50			09:20		
			09:30			10:00		
			10:40			11:10		
			13:00			13:30		
			14:10			14:40		
			15:20			15:50		
			16:40			17:10		
			17:50			18:20		
			19:00			19:30		
			20:30			21:00		
260а	От пл. Бровко по пр.Ленина–Садоводство 3
 Выходные дни	FALSE						
			07:30			08:00		
			08:40			09:10		
			11:20			11:50		
			16:10			16:40		
			18:30			19:00		
240	Будогощь (круговой)	TRUE						
			08:50					
			18:55					
241, 241а	Будогощь – Крапивно	FALSE						
			06:55	ср., сб.	заезд в Авдетово	08:02	ср., сб.	* заезд в д.Авдетово, д.Могилёво
			15:00	ср., пт., сб.	заезд в д.Авдетово, д.Могилёво	15:55	ср., пт., вс.	заезд в д.Авдетово 
 
244а	Будогощь – Смолино	FALSE						
			08:20	вт., чт., сб.	заезд в д.Змеева Новинка	09:13	вт., чт., сб.	*
			18:00	вт., чт., сб., вс.	заезд в д.Змеева Новинка	18:50	вт., чт., сб., вс.	
245	Будогощь – Клинково	FALSE						
			07:20			07:50		*
			16:50			17:20		
246	Будогощь – Половинник	FALSE						
			06:55	пн.		07:38	пн.	*
			08:20	ср., пт., вс.		09:10	ср., пт., вс.	*
			15:00			15:50		
247	Будогощь – Луг	FALSE						
			08:20	пн.		09:10	пн.	*
			06:55	вт., чт., пт., вс.		07:37	вт., чт., пт., вс.	* (Могилево) (Солоницы вт, чт.)
			15:00	пн., вт., чт., сб.	(Могилево) (Солоницы вт, чт.)	15:35	пн., вт., чт., сб.	
